SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
05576,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,704.0,906.5,58.62,31.2,32.62,39.84,30.48,26.04,23.22,66.0
05615,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,1037.0,1612.0,729.0,380.2,2162.0,583.5,,929.8,924.5,643.0
05677,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,218.6,160.1,67.6,194.4,378.0,,,357.12,371.2,231.0
05715,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,214.2,,260.8,33.1,25.2,208.5,334.8,173.5,208.5,228.0
05915,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,11.43,,13.1,29.5,,,10.6,60.0,18.0
06015,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,542.0,1206.0,766.5,308.5,1744.0,780.5,511.2,312.4,585.5,643.0
06071,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,58.97,,,,,0.0,0.0,10.0
06077,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,228.6,62.56,146.1,153.1,268.2,351.2,,332.52,364.0,237.0
06077,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,116.6,122.4,212.5,173.8,92.6,79.56,63.84,937.2,1254.0,175.0
06115,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,4332.0,6350.0,4324.0,6268.0,6950.0,4964.0,7724.0,4523.9,5990.0,5343.0
06115,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,106.56,254.4,406.8,258.2,397.0,240.2,188.4,693.0,319.2,326.0
06141,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,1.846,146.6,130.5,118.4,112.4,175.1,86.24,87.4,123.0
06171,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,1390.0,372.2,1215.0,1645.0,662.5,3220.0,3578.0,1463.64,1493.0,1717.0
06177,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,403.8,444.0,1314.0,650.5,1739.0,1103.0,712.0,701.4,1083.0,1165.0
06177,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1439.0,1228.0,2562.0,3106.0,2718.0,2108.0,1383.0,2515.8,3328.0,2499.0
06184,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,499.8,166.2,398.8,1023.0,402.5,210.276,237.6,446.0
06185,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,640.5,174.6,33.25,307.8,,232.848,180.0,305.0
06190,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,142.0,120.7,372.2,654.0,725.0,839.0,748.5,780.84,835.0,563.0
06190,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1838.0,1183.0,1090.0,1159.0,723.0,570.5,1096.0,1225.44,1196.0,1326.0
06215,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,233.8,112.2,518.0,241.8,241.5,336.2,693.5,352.6,418.2,382.0
06271,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,71.8,175.8,305.8,157.5,257.5,146.5,171.6,136.32,127.2,224.0
06276,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,36.78,29.62,56.1,184.5,71.06,59.53,66.94,62.28,52.56,97.0
06315,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,275.0,,207.5,122.3,53.7,121.9,28.8,232.2,300.0,252.0
06415,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,191.8,,,,,0.0,0.0,39.0
06515,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,6024.0,4476.0,4772.0,7250.0,4136.0,10180.0,8210.0,6653.2,6856.0,7230.0
06515,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1.787,1.787,15.97,8.5,6.4,15.9,15.5,7.3,13.0,19.0
06541,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,72.7,79.1,66.9,77.75,71.8,86.04,77.4,86.0
06571,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,719.5,1301.0,1148.0,1483.0,3062.0,1342.0,856.0,1162.08,1192.0,1342.0
06571,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,3.482,3.482,36.62,23.16,81.25,59.53,52.2,20.04,37.53,42.0
06577,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,771.5,2700.0,520.5,1955.0,2238.0,1810.0,88.8,1278.48,478.0,1355.0
06577,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,158.6,115.75,275.0,185.0,187.9,154.5,81.8,69.0,307.5,260.0
06615,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,546.5,61.03,315.0,782.5,132.1,232.8,445.8,357.8,367.8,424.0
06677,KOZEL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,78.94,57.5,221.0,126.4,32.28,76.8,30.48,18.24,36.47,159.0
06871,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,345.5,,,1486.0,207.4,0.0,0.0,258.0
06892,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,2312.0,,,,33.6,0.0,0.0,368.0
07015,TOPVAR,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,38.38,58.16,83.9,59.8,92.9,73.9,97.0,57.0,46.6,72.0
07082,TOPVAR,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,15.32,15.32,15.75,8.52,7.8,30.6,29.52,19.44,15.0,14.0
07215,TOPVAR,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,106.0,148.5,209.1,141.5,188.9,177.6,146.2,154.5,147.2,183.0
07282,TOPVAR,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,11.49,11.49,67.56,8.52,8.64,29.77,37.2,20.88,29.77,17.0
11070,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,,,,,0.0,18.0,26.0
11076,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,688.5,419.8,1866.0,794.5,965.0,1043.0,908.5,900.48,945.5,1480.0
11076,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1744.0,2164.0,322.2,110.25,155.1,183.1,212.2,138.48,145.1,383.0
11215,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,43.66,50.8,242.6,18.5,33.4,15.5,223.0,37.5,68.4,65.0
11216,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,1.866,1.866,8.32,1.108,1.98,0.396,,8.3952,0.5547,2.0
11238,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,4.23,,,,22.45,0.0,0.0,0.0
11238,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,2.05,0.2375,0.2375,,4.832,0.0792,2.0,0.0
11269,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,11.805,,,,,0.0,0.0,0.0
11270,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,,,,,0.0,30.0,26.0
11276,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,708.5,450.0,2128.0,1070.0,1314.0,1413.0,949.5,1244.28,1202.0,1767.0
11276,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1614.0,1758.0,1030.0,508.0,733.5,1055.0,738.0,792.0,667.0,1011.0
11293,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,60.1,,,36.8,261.5,0.0,0.0,0.0
11376,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,390.8,242.5,814.0,298.2,337.2,490.2,1.32,367.32,361.5,570.0
11376,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,831.0,1046.0,170.6,50.03,88.44,99.1,297.0,84.96,98.56,94.0
