SkuShort,Brand,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
12876,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,,,,28.69,72.5,,,18.24,0.0,46.0
12876,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,12.53,12.53,,26.77,24.48,,,34.56,51.0,27.0
12915,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,153.6,159.6,,88.8,259.2,,,156.8,145.9,165.0
12915,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,,,,0.2,0.1,,,0.2,0.0,10.0
12976,BIRELL,CZ,2021,15,5,3.277,1.754,1.525,True,,,,4.44,21.6,,,11.4,0.0,22.0
12976,BIRELL,SK,2021,15,5,3.277,1.754,1.525,True,12.914,12.914,,26.77,24.23,,,28.8,24.7,27.0
13038,FRISCO,SK,2021,15,5,3.277,1.754,1.525,True,,,1.207,0.396,0.4355,0.317,2.217,0.2376,0.277,4.0
13074,FRISCO,SK,2021,15,5,3.277,1.754,1.525,True,,,10.055,8.0,8.48,,,13.2264,2.793,15.0
13138,FRISCO,SK,2021,15,5,3.277,1.754,1.525,True,,,1.122,0.2375,0.3564,0.317,1.307,0.1584,0.3164,2.0
13174,FRISCO,SK,2021,15,5,3.277,1.754,1.525,True,,,9.5,7.6,0.475,,,3.0888,1.871,12.0
13338,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,162.6,68.75,6.3,212.2,77.6,164.6,115.56,74.646,75.5,174.0
13374,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,30.92,40.44,56.88,29.7,52.34,,,7.92,21.77,47.0
13438,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,149.5,86.3,11.89,362.2,137.9,229.9,230.9,113.5332,119.9,215.0
13474,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,32.34,45.44,70.3,132.1,133.2,,,37.9368,76.0,148.0
13538,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,122.44,44.6,2.492,159.9,44.03,120.2,83.7,47.5992,41.75,127.0
13638,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,144.1,75.56,9.266,321.0,137.6,273.5,178.9,133.254,114.06,214.0
13638,FRISCO,SK,2021,15,5,3.277,1.754,1.525,True,,,2.047,0.475,0.634,0.4355,7.13,0.594,0.396,4.0
13674,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,32.34,45.44,68.1,150.6,108.5,,,51.2424,89.9,143.0
13674,FRISCO,SK,2021,15,5,3.277,1.754,1.525,True,,,12.23,15.52,1.268,,,48.312,3.375,14.0
13738,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,176.1,64.06,46.9,239.8,120.3,318.2,25.62,144.8568,185.0,209.0
13738,FRISCO,SK,2021,15,5,3.277,1.754,1.525,True,0.3845,0.3845,5.9,7.523,0.594,0.6733,15.76,0.8316,3.475,7.0
13774,FRISCO,SK,2021,15,5,3.277,1.754,1.525,True,,,16.86,15.37,15.6,,,25.5024,11.11,16.0
13838,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,176.1,64.06,177.0,213.8,106.06,,,104.6232,154.2,210.0
13938,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,176.1,63.5,124.5,230.2,101.9,,,109.0188,132.1,194.0
14038,FRISCO,CZ,2021,15,5,3.277,1.754,1.525,True,,,,,,,,8.9496,0.0,98.0
15060,KINGSWOOD,CZ,2021,15,5,3.277,1.754,1.525,True,8.29,28.14,130.2,32.84,60.38,98.06,433.5,13.968,26.72,54.0
15070,KINGSWOOD,CZ,2021,15,5,3.277,1.754,1.525,True,8.43,20.03,,31.92,75.0,18.61,23.84,88.7832,45.25,43.0
15160,KINGSWOOD,CZ,2021,15,5,3.277,1.754,1.525,True,4.715,15.64,23.23,13.39,26.5,52.84,162.4,4.416,9.0,23.0
15170,KINGSWOOD,CZ,2021,15,5,3.277,1.754,1.525,True,4.215,15.82,,16.88,38.97,12.44,16.72,33.3432,19.05,27.0
15260,KINGSWOOD,CZ,2021,15,5,3.277,1.754,1.525,True,3.143,11.0,26.11,7.68,32.62,47.28,168.2,8.64,12.09,24.0
15270,KINGSWOOD,CZ,2021,15,5,3.277,1.754,1.525,True,13.664,19.55,75.9,20.52,37.22,13.46,11.484,68.66640000000001,24.39,34.0
15438,KINGSWOOD,CZ,2021,15,5,3.277,1.754,1.525,True,,,,,0.0396,,,0.3168,0.0,79.0
16375,CAPTAIN JACK,SK,2021,15,5,3.277,1.754,1.525,True,150.5,28.02,,148.0,41.75,,,58.5288,51.12,174.0
16475,CAPTAIN JACK,SK,2021,15,5,3.277,1.754,1.525,True,150.5,28.02,,144.2,38.2,,,49.0248,42.88,170.0
17551,VIPER,CZ,2021,15,5,3.277,1.754,1.525,True,,,,0.0,,,,1.188,0.0,87.0
18076,SMADNY MNICH,SK,2021,15,5,3.277,1.754,1.525,True,2.71,2.71,141.0,42.25,22.56,97.7,136.9,55.2,61.1,58.0
18276,SMADNY MNICH,SK,2021,15,5,3.277,1.754,1.525,True,1.475,1.475,83.2,58.1,16.44,48.25,105.4,75.84,49.16,54.0
01015,PILSNER URQUELL,CZ,2021,16,5,7.305,0.766,7.23,True,3250.0,3740.0,7068.0,5224.0,4690.0,7550.0,9340.0,5994.5,8052.0,8080.0
01015,PILSNER URQUELL,SK,2021,16,5,7.305,0.766,7.23,True,2304.0,3814.0,1937.0,3376.0,2660.0,1355.0,3316.0,1934.6,1777.0,1921.0
01016,PILSNER URQUELL,CZ,2021,16,5,7.305,0.766,7.23,True,,28.58,198.2,82.1,49.9,101.7,421.0,75.4776,64.7,95.0
01016,PILSNER URQUELL,SK,2021,16,5,7.305,0.766,7.23,True,2.545,9.69,36.3,23.12,46.88,28.52,88.9,61.4592,22.94,34.0
01027,PILSNER URQUELL,CZ,2021,16,5,7.305,0.766,7.23,True,,,11.17,8.31,7.207,7.84,18.69,11.4048,6.176,15.0
01041,PILSNER URQUELL,CZ,2021,16,5,7.305,0.766,7.23,True,8.57,21.42,426.5,290.2,237.0,331.0,586.0,436.52,332.5,347.0
01042,PILSNER URQUELL,SK,2021,16,5,7.305,0.766,7.23,True,,,,,,,,0.2,0.0,511.0
01070,PILSNER URQUELL,CZ,2021,16,5,7.305,0.766,7.23,True,137.9,106.44,190.2,142.8,64.8,76.56,203.8,110.484,114.56,150.0
01070,PILSNER URQUELL,SK,2021,16,5,7.305,0.766,7.23,True,26.55,19.4,17.36,8.71,23.77,21.86,10.055,24.948,9.984,21.0
01071,PILSNER URQUELL,CZ,2021,16,5,7.305,0.766,7.23,True,854.0,1702.0,1335.0,1208.0,2868.0,1111.0,1269.0,2504.6400000000003,2027.0,1460.0
01075,PILSNER URQUELL,CZ,2021,16,5,7.305,0.766,7.23,True,874.5,,250.0,1168.0,,109.75,,54.8856,0.0,628.0
01076,PILSNER URQUELL,CZ,2021,16,5,7.305,0.766,7.23,True,,,5.277,,3.0,64.8,6.72,3.6,0.0,74.0
