SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
01000,PILSNER URQUELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,3230.0,641.5,416.2,,2904.0,721.55,640.0,734.0
01002,PILSNER URQUELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,757.5,1431.0,960.5,929.0,607.0,1002.0,889.0,344.0
01003,PILSNER URQUELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,4032.0,3006.0,1738.0,1694.0,3336.0,2200.5,2090.0,1535.0
01005,PILSNER URQUELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,9180.0,4904.0,2620.0,3932.0,8620.0,4344.0,3218.0,3185.0
02003,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,268.8,,,,144.0,0.0,0.0,25.0
02300,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,383.0,,,,232.0,0.0,0.0,125.0
02303,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,460.8,197.8,143.4,137.8,344.0,184.8,167.1,135.0
02305,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,2758.0,512.5,269.0,408.5,1943.0,469.0,488.8,407.0
02500,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,281.8,,,,269.5,0.0,0.0,21.0
02503,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,114.6,156.6,90.0,79.2,155.8,76.8,82.8,107.0
02505,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,814.0,320.5,173.0,329.5,1248.0,286.5,338.8,135.0
02600,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,1059.0,,,,1126.0,0.0,0.0,118.0
02603,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,648.0,709.0,415.5,504.2,687.0,521.4,427.0,264.0
02605,GAMBRINUS,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,6410.0,2114.0,1036.0,2260.0,7164.0,1717.0,2066.0,1451.0
02803,EXCELENT,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,72.56,274.0,214.8,193.8,243.9,240.0,168.9,97.0
02805,EXCELENT,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,294.8,272.5,182.0,265.0,881.5,284.0,216.2,111.0
05000,RADEGAST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,1097.0,66.5,47.88,26.19,857.5,190.76000000000002,70.0,283.0
05002,RADEGAST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,247.8,783.0,555.5,535.5,183.6,600.3,466.8,257.0
05003,RADEGAST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,767.5,1078.0,698.0,625.0,719.0,997.5,576.5,380.0
05005,RADEGAST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,4628.0,2648.0,1292.0,2510.0,4556.0,2707.0,2006.0,1610.0
05100,RADEGAST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,319.8,19.22,9.9,,232.0,57.2,20.0,213.0
05103,RADEGAST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,749.5,954.5,670.5,584.0,693.0,886.2,617.5,366.0
05105,RADEGAST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,5896.0,1908.0,1056.0,1904.0,5390.0,2241.0,1639.0,1539.0
05202,BIRELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,103.9,7.5,1.95,4.35,91.6,10.2,11.09,24.0
05203,BIRELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,670.5,27.3,3.9,18.6,638.5,21.0,57.53,28.0
05603,RADEGAST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,312.2,111.0,69.9,0.3,,95.1,64.75,136.0
06003,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,42.66,20.1,9.0,12.3,27.3,14.7,10.23,12.0
06005,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,326.2,16.0,11.5,22.0,170.0,18.0,14.84,53.0
06100,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,36.6,,,,47.38,0.0,0.0,0.0
06103,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,203.9,243.9,186.9,206.1,210.2,199.5,173.9,101.0
06105,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,1182.0,481.0,245.5,462.5,1470.0,361.0,435.5,157.0
06202,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,55.38,5.25,2.25,4.05,48.6,5.4,6.77,10.0
06203,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,615.5,15.9,9.3,16.8,592.5,12.299999999999999,27.86,74.0
06205,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,53.62,,,,46.5,0.0,0.0,0.0
06500,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,764.0,19.8,,,667.5,29.7,0.0,128.0
06503,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,1060.0,1341.0,813.5,826.0,1174.0,954.6,693.5,265.0
06505,KOZEL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,7744.0,2864.0,1482.0,2194.0,7976.0,2439.5,2092.0,2678.0
08103,MASTER,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,,,,,,0.0,0.0,11.0
08202,MASTER,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,26.3,4.5,3.0,6.45,29.84,6.9,2.986,10.0
08302,MASTER,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,28.52,1.65,0.3,1.05,26.84,1.65,3.146,5.0
09303,MASTER,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,24.38,,,,,0.0,0.0,7.0
11202,BIRELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,115.5,30.45,11.1,32.1,64.94,27.75,23.77,20.0
11203,BIRELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,1235.0,198.0,64.5,165.2,469.0,250.2,102.7,161.0
11205,BIRELL,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,,,,,,0.0,0.0,34.0
15002,KINGSWOOD,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,38.62,10.555,4.133,7.805,35.66,6.579,4.86,0.0
15003,KINGSWOOD,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,147.9,39.9,10.8,24.0,111.9,23.7,22.77,17.0
15202,KINGSWOOD,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,0.816,,,,3.06,0.0,0.0,0.0
20105,SWIST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,192.2,32.5,13.0,34.0,193.5,21.5,29.84,41.0
20205,SWIST,CZ,2021,18,5,5.0,,9.375,1.067,7.137,True,,,472.8,138.5,56.0,156.0,471.0,90.5,104.5,139.0
01000,PILSNER URQUELL,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,3230.0,721.5,641.5,1087.0,2818.0,1364.9299999999998,695.0,1168.0
01002,PILSNER URQUELL,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,757.5,1002.0,1431.0,957.0,465.5,1130.55,931.0,824.0
01003,PILSNER URQUELL,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,4032.0,2200.0,3006.0,2106.0,2950.0,3465.0,2452.0,2338.0
01005,PILSNER URQUELL,CZ,2021,19,5,5.0,,14.11,5.594,5.883,True,,,9180.0,4344.0,4904.0,4664.0,6996.0,7453.5,5460.0,6547.0
