SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,OldPredSalesHl
12576,BIRELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,44.95890937019969,78.19252432155658,188.22860747357504,110.16,378.36,678.84,144.48,93.84,205.48139999999998
13338,FRISCO,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,134.68334874745824,241.43344123220774,155.10961323612503,75.042,70.9632,324.8388,54.846,34.0164,80.46079999999999
13380,FRISCO,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,25.389637244475956,54.63222261609358,37.31736693135,14.4,33.792,57.504,5.664,,22.3198
13438,FRISCO,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,179.73812822197203,381.3946753315822,281.325025184475,137.016,133.9272,648.2124,111.4344,69.0228,133.9313
13480,FRISCO,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,27.7309070857458,60.06873055260153,58.801712037875,34.608,44.832,87.408,7.296,,43.241
13538,FRISCO,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,99.44136406828189,192.16177070019555,81.24771156725001,53.6976,45.6192,239.5008,32.3136,,57.0331
13638,FRISCO,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,105.57556584935274,183.81229427880265,173.268889469125,121.374,111.2364,405.02880000000005,79.6752,,94.1726
15060,KINGSWOOD,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,57.43384787606798,84.88296687850767,129.6174958487,109.344,76.08,243.552,112.896,82.656,114.5767
15070,KINGSWOOD,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,10.403379416282641,7.585560675883256,12.0500668424,11.6424,9.5832,27.324,10.9296,9.9792,13.5932
15160,KINGSWOOD,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,33.444252683152115,59.22722909952511,39.718499339075,20.64,14.016,53.376,37.872,16.128,38.8492
15170,KINGSWOOD,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,10.274347158218125,5.8251920122887855,6.733397915925,14.5728,4.9104,8.5536,3.96,3.1679999999999997,7.455900000000001
15260,KINGSWOOD,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,35.627586016485445,69.71056243285844,29.379233706825,22.752,15.216,52.512,27.552,13.632,32.7298
15270,KINGSWOOD,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,10.338863287250383,6.2768049155145915,4.7190665821749995,7.8408,8.316,11.1672,4.5936,3.564,8.3267
15560,KINGSWOOD,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,0.4032,,,,29.232,15.504,
16070,KOPPARBERG,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,0.36304499999999995,,,,1.584,12.5928,
16170,KOPPARBERG,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,5.557047454075,1.0296,1.1088,2.1384,5.148,10.8108,1.1086
16270,KOPPARBERG,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,0.2375,,,,1.4256,15.7608,
01015,PILSNER URQUELL,CZ,2019,2,5,4,4.0,0.35000000000000003,1.5857142857142856,0.9285714285714286,False,3006.81684981685,4119.587745556337,1844.1337597815248,5028.7,2644.1,4933.1,2829.7,2512.8,4197.8005
01016,PILSNER URQUELL,CZ,2019,2,5,4,4.0,0.35000000000000003,1.5857142857142856,0.9285714285714286,False,349.4202898550725,662.4310425432446,210.854331358175,1068.2496,425.3832,208.8504,130.6008,141.372,447.76239999999996
01022,PILSNER URQUELL,CZ,2019,2,5,4,4.0,0.35000000000000003,1.5857142857142856,0.9285714285714286,False,26.785714285714285,26.25,79.70319810000001,26.895,55.55,89.87,65.34,87.065,44.9349
01027,PILSNER URQUELL,CZ,2019,2,5,4,4.0,0.35000000000000003,1.5857142857142856,0.9285714285714286,False,,,10.57086318185,11.2464,18.0576,14.9688,20.196,4.9104,20.1959
01037,PILSNER URQUELL,CZ,2019,2,5,4,4.0,0.35000000000000003,1.5857142857142856,0.9285714285714286,False,22.580645161290324,19.35483870967742,,22.0,17.2,105.2,,,100.0
