SkuShort,PrimaryPack,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,SalesHl,OldPredSalesHl,PredictSalesHl
05376,CAN,SK,2021,10,5,2.34,0.877,3.383,True,32.03,1323.0,21.94,49.56,12.72,18.12,48.6,22,26,0.0
05576,CAN,SK,2021,10,5,2.34,0.877,3.383,True,32.03,1323.0,35.34,41.88,37.9,20.88,33.12,16,15,0.0
06077,CAN,SK,2021,10,5,2.34,0.877,3.383,True,91.0,408.5,85.2,115.56,1014.0,32.4,40.9,103,67,146.0
06115,RB,SK,2021,10,5,2.34,0.877,3.383,True,136.8,87.9,266.2,701.5,158.9,237.9,211.0,686,500,343.0
06177,CAN,SK,2021,10,5,2.34,0.877,3.383,True,2970.0,2758.0,1489.0,4084.0,2568.0,1682.0,1311.0,5328,3910,2433.0
06185,CAN,SK,2021,10,5,2.34,0.877,3.383,True,1500.0,,506.0,1156.0,207.9,,191.2,33,200,615.0
06190,PET,SK,2021,10,5,2.34,0.877,3.383,True,249.2,496.2,450.2,914.5,1145.0,629.0,487.0,801,356,694.0
06276,CAN,SK,2021,10,5,2.34,0.877,3.383,True,31.11,23.95,32.97,116.9,45.12,54.47,75.4,47,32,91.0
06515,RB,SK,2021,10,5,2.34,0.877,3.383,True,3.69,3.69,10.82,5.7,9.7,11.7,10.1,28,13,14.0
06571,CAN,SK,2021,10,5,2.34,0.877,3.383,True,3.44,3.44,20.58,32.03,93.8,23.64,68.9,21,19,51.0
06577,CAN,SK,2021,10,5,2.34,0.877,3.383,True,104.5,83.06,72.4,231.9,135.5,107.75,33.12,87,70,177.0
06677,CAN,SK,2021,10,5,2.34,0.877,3.383,True,45.78,33.66,35.38,46.44,67.8,35.03,38.88,41,37,62.0
07015,RB,SK,2021,10,5,2.34,0.877,3.383,True,27.42,34.7,71.94,102.2,58.0,78.3,64.5,46,82,92.0
07082,CAN,SK,2021,10,5,2.34,0.877,3.383,True,1.284,1.284,10.91,7.68,13.08,14.76,31.69,9,15,17.0
07215,RB,SK,2021,10,5,2.34,0.877,3.383,True,69.4,95.8,134.8,175.0,96.5,157.1,131.1,119,169,153.0
07282,CAN,SK,2021,10,5,2.34,0.877,3.383,True,2.125,2.004,15.12,6.12,12.12,15.84,18.48,9,16,16.0
11076,CAN,SK,2021,10,5,2.34,0.877,3.383,True,107.7,1398.0,114.6,111.25,77.25,162.5,139.8,508,390,48.0
11215,RB,SK,2021,10,5,2.34,0.877,3.383,True,22.94,22.08,153.5,9.5,26.7,134.9,128.0,11,11,34.0
11238,RB,SK,2021,10,5,2.34,0.877,3.383,True,,,1.585,0.317,,4.67,5.504,0,0,35.0
11276,CAN,SK,2021,10,5,2.34,0.877,3.383,True,331.0,1557.0,554.5,447.8,309.0,525.0,315.8,1000,947,453.0
11376,CAN,SK,2021,10,5,2.34,0.877,3.383,True,63.97,1377.0,168.9,87.8,42.38,73.3,323.5,503,387,1.0
11476,CAN,SK,2021,10,5,2.34,0.877,3.383,True,20.97,1328.0,47.75,17.52,40.9,73.94,,87,11,0.0
11576,CAN,SK,2021,10,5,2.34,0.877,3.383,True,43.7,1344.0,153.9,69.5,48.97,60.12,,82,35,0.0
11676,CAN,SK,2021,10,5,2.34,0.877,3.383,True,25.73,1328.0,75.0,116.2,57.0,85.94,,51,23,23.0
11776,CAN,SK,2021,10,5,2.34,0.877,3.383,True,67.0,1334.0,122.3,58.44,30.72,175.1,,67,25,0.0
11876,CAN,SK,2021,10,5,2.34,0.877,3.383,True,37.88,1334.0,88.94,189.5,56.62,202.8,,56,12,74.0
12576,CAN,SK,2021,10,5,2.34,0.877,3.383,True,124.1,1376.0,123.5,93.1,60.25,168.6,93.5,200,82,39.0
12815,RB,SK,2021,10,5,2.34,0.877,3.383,True,,,,,,,,0,0,109.0
12915,RB,SK,2021,10,5,2.34,0.877,3.383,True,,,,,,,,0,0,107.0
13038,NRB,SK,2021,10,5,2.34,0.877,3.383,True,,,0.6807,2.139,0.317,0.475,1.624,0,0,3.0
13074,CAN,SK,2021,10,5,2.34,0.877,3.383,True,,,5.152,7.76,0.792,,,1,8,16.0
13138,NRB,SK,2021,10,5,2.34,0.877,3.383,True,,,0.639,0.4355,0.1584,0.634,1.584,4,0,2.0
13174,CAN,SK,2021,10,5,2.34,0.877,3.383,True,,,6.527,7.92,9.664,,,14,8,20.0
13638,NRB,SK,2021,10,5,2.34,0.877,3.383,True,,,1.342,3.326,0.3564,1.624,2.812,0,0,3.0
13674,CAN,SK,2021,10,5,2.34,0.877,3.383,True,,,7.473,8.79,4.754,,,5,12,18.0
13738,NRB,SK,2021,10,5,2.34,0.877,3.383,True,0.389,0.389,3.383,10.77,0.1188,5.426,10.85,0,2,9.0
13774,CAN,SK,2021,10,5,2.34,0.877,3.383,True,,,9.836,15.125,8.48,,,22,16,21.0
16375,NRB,SK,2021,10,5,2.34,0.877,3.383,True,54.88,11.51,,0.317,,,,10,36,130.0
16475,NRB,SK,2021,10,5,2.34,0.877,3.383,True,54.88,11.51,,0.317,,,,9,33,131.0
18076,CAN,SK,2021,10,5,2.34,0.877,3.383,True,62.66,45.53,81.2,99.8,47.62,59.53,58.56,35,35,87.0
18276,CAN,SK,2021,10,5,2.34,0.877,3.383,True,46.44,33.6,46.28,69.6,23.52,32.53,31.56,8,14,56.0
01015,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,13340.0,7360.0,6850.0,13280.0,8264.0,5590.0,6188.0,10488,11400,9742.0
01016,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,297.8,303.0,413.8,133.9,109.94,180.6,182.1,119,214,252.0
01027,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,,,7.05,4.754,9.82,7.92,7.207,7,8,16.0
01041,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,28.58,,450.5,236.4,519.0,573.0,444.0,335,323,498.0
01070,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,85.1,168.0,143.1,57.03,162.1,143.2,193.2,67,118,155.0
01071,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,849.0,1512.0,1884.0,2292.0,2946.0,760.5,4736.0,1229,1187,1862.0
01077,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,1325.0,2530.0,1919.0,1816.0,3270.0,2422.0,2198.0,1681,1712,2203.0
01078,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,31.42,110.0,37.22,58.06,52.47,94.06,,22,24,72.0
01096,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,,,1.541,0.24,0.52,6.08,,3,3,25.0
01125,NRB,CZ,2021,11,5,0.4087,1.204,2.678,True,,,0.8926,1.029,2.217,0.1584,0.396,1,1,9.0
02015,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,906.5,876.0,1265.0,718.5,1123.0,2136.0,1860.0,848,1045,1460.0
02071,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,1306.0,334.8,646.5,1857.0,955.5,169.1,437.5,957,1153,1001.0
02115,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,9640.0,4984.0,12420.0,8040.0,6250.0,9410.0,8780.0,14144,14288,11066.0
02141,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,,,121.8,21.8,77.94,211.4,243.4,46,45,86.0
02170,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,28.58,,39.12,27.8,15.52,51.56,98.3,28,33,44.0
02171,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,669.5,788.5,1687.0,1342.0,2086.0,1716.0,1505.0,1396,1352,1664.0
02177,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,571.0,629.5,909.0,673.5,1213.0,1026.0,1129.0,1740,2546,1099.0
02215,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,53.56,96.44,223.2,237.1,265.0,273.0,246.4,256,209,255.0
02815,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,952.0,926.0,2480.0,1192.0,2122.0,877.0,619.5,1437,1620,1576.0
02841,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,10.0,10.0,87.2,54.6,149.8,154.8,143.8,18,246,113.0
02871,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,308.5,383.8,298.2,493.5,525.0,198.4,290.2,472,447,462.0
02877,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,142.9,357.2,79.9,577.0,75.1,69.6,12.48,106,412,230.0
03015,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,421.2,202.9,697.5,596.5,754.0,1042.0,870.5,778,1159,845.0
03092,PET,CZ,2021,11,5,0.4087,1.204,2.678,True,21.16,264.8,421.0,429.8,863.5,472.8,807.5,332,403,422.0
03115,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,440.0,234.6,831.0,929.0,1498.0,992.0,829.5,894,1263,1119.0
03515,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,130.0,92.9,40.03,76.2,12.8,47.6,7.3,40,44,86.0
05015,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,4710.0,6760.0,4572.0,4970.0,7364.0,4244.0,2432.0,4140,4128,5781.0
05071,CAN,CZ,2021,11,5,0.4087,1.204,2.678,True,1817.0,815.5,1357.0,3602.0,2348.0,1151.0,1209.0,1801,1914,2496.0
05115,RB,CZ,2021,11,5,0.4087,1.204,2.678,True,5852.0,10620.0,7452.0,8980.0,12720.0,6876.0,5750.0,6240,5648,6589.0
